FID,SitePolygo,dunam,Shape_Area,parmiter,Ci,buff_area,buff_perim,STAT_1,AGE,POP15,RATE15,INDX8,RATE8,Count_,Sum_floors,Avg_floors,Sum_appart,Avg_appart,Sum_Shape_,Avg_Shape_,Sum_living,Avg_living,Sum_reside,Avg_reside,part_area
0,2,10168.37263,7402067.223,12078,0.798521142,610440.0518,24433.8933,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26813.45642
1,2,10168.37263,7402067.223,12078,0.798521142,610440.0518,24433.8933,643,1998,5310,1,0.893158116,1299,0,0,0,0,0,0,0,0,0,0,0,6274.996735
2,2,10168.37263,7402067.223,12078,0.798521142,610440.0518,24433.8933,644,2002,1301,2,1.612326804,1514,1,2,2,6,6,27.80943472,27.80943472,55.61886944,55.61886944,1,1,58793.0326
3,2,10168.37263,7402067.223,12078,0.798521142,610440.0518,24433.8933,645,2002,14133,3,0.727673958,1226,1,5,5,7,7,71.03970833,71.03970833,355.1985416,355.1985416,1,1,207443.4747
4,12,5928.983651,4321894.765,11538,0.638721436,579557.3719,23124.11672,621,1968,547,0,0,0,1,1,1,0,0,3.5538505,3.5538505,3.5538505,3.5538505,0,0,445214.559
5,11,2585.889811,1884734.725,7704,0.631704214,392348.1196,15695.10241,621,1968,547,0,0,0,1,1,1,0,0,662.2595789,662.2595789,662.2595789,662.2595789,0,0,318834.4723
6,15,360.8723816,263037.3183,3999,0.454634315,206698.7999,8259.943823,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,399.3927917
7,15,360.8723816,263037.3183,3999,0.454634315,206698.7999,8259.943823,412,1949,2740,6,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,13920.50216
8,15,360.8723816,263037.3183,3999,0.454634315,206698.7999,8259.943823,413,1993,6945,6,-0.013754514,811,0,0,0,0,0,0,0,0,0,0,0,35.72062066
9,15,360.8723816,263037.3183,3999,0.454634315,206698.7999,8259.943823,612,1937,4668,7,-0.237948898,667,12,123,10.25,525,43.75,7210.648449,600.8873707,73915.76154,6159.646795,12,1,27999.85977
10,15,360.8723816,263037.3183,3999,0.454634315,206698.7999,8259.943823,613,1953,4846,2,0.516157712,1132,124,217,1.75,133,1.072580645,14562.12928,117.4365264,24990.70798,201.5379676,121,0.975806452,122646.7407
11,15,360.8723816,263037.3183,3999,0.454634315,206698.7999,8259.943823,621,1968,547,0,0,0,1,1,1,0,0,1100.054367,1100.054367,1100.054367,1100.054367,0,0,6718.305429
12,15,360.8723816,263037.3183,3999,0.454634315,206698.7999,8259.943823,624,1962,1985,9,-0.237948898,667,7,7,1,0,0,2543.423072,363.3461532,2543.423072,363.3461532,0,0,13080.08365
13,13,1813.337826,1322158.244,9171,0.444457212,457245.6273,18152.42683,621,1968,547,0,0,0,13,18,1.384615385,1,0.076923077,43636.36219,3356.643246,43636.36219,3356.643246,0,0,297459.2041
14,32,65.9343433,48032.14307,847,0.917249542,50200.55532,2008.588546,132,1957,2808,9,-0.592712392,469,15,47,3.133333333,271,18.06666667,4755.461751,317.0307834,16202.88134,1080.192089,12,0.8,13304.13619
15,32,65.9343433,48032.14307,847,0.917249542,50200.55532,2008.588546,133,1957,1174,9,-0.592712392,469,21,36,1.714285714,94,4.476190476,4565.411196,217.4005332,8516.204823,405.533563,19,0.904761905,24109.49358
16,32,65.9343433,48032.14307,847,0.917249542,50200.55532,2008.588546,211,1970,3582,7,0.189206973,951,8,52,6.5,192,24,3281.169213,410.1461516,25275.56638,3159.445798,6,0.75,12786.92556
17,29,438.9099374,319814.9638,5004,0.400624054,253834.1025,10137.63197,411,1993,3590,2,0.195854822,955,1,2,2,0,0,1655.7572,1655.7572,1655.7572,1655.7572,0,0,15738.20156
