sindex,species,status,rating,tax,distribution,local,endemic,red,invader
5,שנונית באר-שבע,סכנת הכחדה,CR,זוחלים,צפון אפריקה,1,1,1,0
10,חומט מנומר דרומי,חסר מידע,DD,זוחלים,"צפון אפריקה , במערב אסיה ובקפריסין ",1,1,1,0
17,קרפדה ירוקה,סכנת הכחדה,EN,דוחיים,אירופה ואסיה,1,0,1,0
18,צב-יבשה מדברי,סכנת הכחדה,EN,זוחלים,סהרי,1,1,1,0
25,ארנבת מצויה,לא בסיכון,LC,יונקים,אפרו- טרופי + פליארקטי ,1,0,0,0
30,גירית מצויה,לא בסיכון,LC,יונקים,אפרו- טרופי + פליארקטי ,1,0,0,0
24,ארבע-קו מובהק,לא בסיכון,LC,זוחלים,"צפון אפריקה ובמערב אסיה , מצפון הודו ",1,0,0,0
31,דרבן,לא בסיכון,LC,יונקים,אוריינטלי מערבי,1,0,0,0
130,חדף לבן-שיניים,בסיכון נמוך,NT,יונקים,מערב פליארקטי,1,0,0,0
40,חולד (4 מינים כרומוזומליים),לא בסיכון,LC,יונקים,מרכז פליארקטי - אירופה + מזרח התיכון,1,0,0,0
36,זיקית ים-תיכונית,לא בסיכון,LC,זוחלים,"מערב אסיה , צפון אפריקה ודרום אירופה ",1,0,0,0
38,זעמן אוכפים,לא בסיכון,LC,זוחלים,סהרו ערבי,1,0,0,0
39,זעמן דק,לא בסיכון,LC,זוחלים,סהרו ערבי,1,0,0,0
41,חולדה מצויה,לא בסיכון,LC,יונקים,כלל עולמי,1,0,0,0
179,חתול ביצות,סכנת הכחדה,VU,יונקים,פליארקטי,1,0,1,0
42,חומט פסים,לא בסיכון,LC,זוחלים,צפוני - ים תיכוני,1,0,0,0
48,חרדון מצוי דרומי,לא בסיכון,LC,זוחלים,ערבי,1,1,0,0
49,חרדון מצוי צפוני,לא בסיכון,LC,זוחלים,צפוני - ים תיכוני,0,0,0,0
53,ישימונית מצויה,לא בסיכון,LC,זוחלים,סהרו-ערבי,1,0,0,0
56,לטאה זריזה,לא בסיכון,LC,זוחלים,צפוני - ים תיכוני,1,0,0,0
59,מדברית עינונית,לא בסיכון,LC,זוחלים,סהרו-ערבי,1,0,0,0
60,מדברית פסים,לא בסיכון,LC,זוחלים,סהרו-ערבי,1,0,0,0
61,מניפנית מצויה,לא בסיכון,LC,זוחלים,סהרו-ערבי,1,0,0,0
62,מריון מדבר,לא בסיכון,LC,יונקים,סהרו ערבי,1,0,0,0
63,מריון מצוי,לא בסיכון,LC,יונקים,ערבי,0,0,0,0
65,נברן שדות,לא בסיכון,LC,יונקים,מרכז פליארקטי ,0,0,0,0
66,נחושית עינונית,לא בסיכון,LC,זוחלים,סהרו-ערבי,1,0,0,0
67,נחשיל חד-ראש,לא בסיכון,LC,זוחלים,ערבי,0,0,0,0
68,נמייה,לא בסיכון,LC,יונקים,אפרו -טרופי + דרום פליארקטי,0,0,0,1
88,עטלף פירות,לא בסיכון,LC,יונקים,אפרו טרופי + מערב אסיה,1,0,0,0
89,עינחש,לא בסיכון,LC,זוחלים,ים תיכוני,1,0,0,0
150,עטלפון לבן-שוליים,בסיכון נמוך,NT,יונקים,אפרו- טרופי + דרום פליארקטי ,1,0,0,0
90,עכבר מצוי (ע' בית),לא בסיכון,LC,יונקים,פליארקטי,1,0,0,0
21,צבוע מפוספס,סכנת הכחדה,EN,יונקים,דרום פליארקטי,1,0,1,0
169,צבי ארץ-ישראלי,סכנת הכחדה,VU,יונקים,סהרו ערבי,1,0,1,0
98,קוצן זהוב,לא בסיכון,LC,יונקים,סהרו ערבי,0,0,0,0
99,קוצן מצוי,לא בסיכון,LC,יונקים,אפרו טרופי + דרום פליארקטי,1,0,0,0
109,שחור-ראש,לא בסיכון,LC,זוחלים,ערבי,1,0,0,0
112,שממית בתים,לא בסיכון,LC,זוחלים,כלל עולמי,1,0,0,0
113,שנונית נחלים,לא בסיכון,LC,זוחלים,סהרו ערבי,1,0,0,0
116,תלום-קשקשים מצוי,לא בסיכון,LC,זוחלים,סהרו-ערבי- אירופי,1,0,0,0
176,קיפוד חולות,סכנת הכחדה,VU,יונקים,סהרו ערבי,1,0,1,0
103,קיפוד מדבר,לא בסיכון,LC,יונקים,ערבי,1,0,0,0
139,חרדון מדבר,בסיכון נמוך,NT,זוחלים,סהרו ערבי,1,0,0,0
147,נחש מים,בסיכון נמוך,NT,זוחלים,פליארקטי,1,0,0,0
104,קיפוד מצוי,לא בסיכון,LC,יונקים,אירופה - אסיה,1,0,0,0
156,צפרדע נחלים,בסיכון נמוך,NT,דוחיים,"אירופה, אסיה ואפריקה",1,0,0,0
19,שועל הנגב (חולות),סכנת הכחדה,EN,יונקים,סהרו ערבי,0,0,1,0
174,אילנית מצויה,סכנת הכחדה,VU,דוחיים,ים תיכוני,1,0,1,0
175,צב-יבשה מצוי,סכנת הכחדה,VU,זוחלים,סהרו-ערבי- אירופי,1,1,1,0
108,שועל מצוי,לא בסיכון,LC,יונקים,,0,0,0,1
177,זיקית סיני,סכנת הכחדה,VU,זוחלים,סהרו-ערבי- אירופי,1,1,1,0
178,חומט גמד,סכנת הכחדה,VU,זוחלים,צפוני - ים תיכוני,1,0,1,0
118,תן,לא בסיכון,LC,יונקים,פליארקטי + אוריינטלי,1,0,0,0
1,קנית אירופית,סכנת הכחדה,CR,עופות,,0,0,1,0
2,חרגולן זמירי,סכנת הכחדה,CR,עופות,,0,0,1,0
3,נחליאלי צהוב,סכנת הכחדה,CR,עופות,,0,0,1,0
4,עפרוני פסגות,סכנת הכחדה,CR,עופות,,0,0,1,0
6,זמירון,סכנת הכחדה,CR,עופות,,0,0,1,0
7,חופמי גדות,סכנת הכחדה,CR,עופות,,0,0,1,0
8,בזבוז אירופי,חסר מידע,DD,עופות,,0,0,0,0
9,זמיר הירדן,חסר מידע,DD,עופות,,0,0,0,0
11,סבכי החורש,חסר מידע,DD,עופות,,0,0,0,0
12,סבכי שחור כיפה,חסר מידע,DD,עופות,,0,0,0,0
13,עפרונן קצר-אצבעות,חסר מידע,DD,עופות,,0,0,0,0
14,שיחנית זית,0 בסיכון,DD,עופות,,0,0,0,0
15,תחמס אירופי,0 בסיכון,DD,עופות,,0,0,0,0
16,פיפיון צהוב,סכנת הכחדה,EN,עופות,,0,0,0,0
20,בז אדום,סכנת הכחדה,EN,עופות,,1,0,0,0
22,אנפית בקר,0 בסיכון,LC,עופות,,1,0,0,0
23,אנפת לילה,0 בסיכון,LC,עופות,,0,0,0,0
26,בולבול צהוב שת,0 בסיכון,LC,עופות,,1,0,0,0
27,בז מצוי,0 בסיכון,LC,עופות,,1,0,0,0
28,גבתון גנים,0 בסיכון,LC,עופות,,0,0,0,0
29,גבתון עפרוני,0 בסיכון,LC,עופות,,0,0,0,0
32,דרור הבית,0 בסיכון,LC,עופות,,1,0,0,1
33,דרור ספרדי,0 בסיכון,LC,עופות,,1,0,0,0
34,דרורית קצרת אצבעות,0 בסיכון,LC,עופות,,0,0,0,0
35,דררה,0 בסיכון,LC,עופות,,1,0,0,1
37,זנבן ערבי,0 בסיכון,LC,עופות,,1,0,0,0
43,חטפית אפורה,0 בסיכון,LC,עופות,,0,0,0,0
44,חיויאי,0 בסיכון,LC,עופות,,0,0,0,0
45,חכלילית סלעים,0 בסיכון,LC,עופות,,0,0,0,0
46,חנקן גדול,0 בסיכון,LC,עופות,,1,0,0,0
47,חצוצרן שחור-מקור,0 בסיכון,LC,עופות,,0,0,0,0
50,טסית,0 בסיכון,LC,עופות,,0,0,0,0
51,ירגזי מצוי,0 בסיכון,LC,עופות,,1,0,0,0
52,ירקון,0 בסיכון,LC,עופות,,0,0,0,0
54,כוכית גדות,0 בסיכון,LC,עופות,,0,0,0,0
55,לבנית קטנה,0 בסיכון,LC,עופות,,0,0,0,0
57,מאיינה מצויה,0 בסיכון,LC,עופות,,1,0,0,1
58,מגלן חום,0 בסיכון,LC,עופות,,0,0,0,0
64,מרית,0 בסיכון,LC,עופות,,0,0,0,0
69,נץ מצוי,0 בסיכון,LC,עופות,,0,0,0,0
70,נקר סורי,0 בסיכון,LC,עופות,,1,0,0,0
71,סבכי טוחנים,0 בסיכון,LC,עופות,,0,0,0,0
72,סבכי קוצים,0 בסיכון,LC,עופות,,0,0,0,0
73,סבכי שחור ראש,0 בסיכון,LC,עופות,,0,0,0,0
