sindex,SiteNum,Spname,LocalRisk,statusredBook,TEX
1,9,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
1,14,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
1,37,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
1,40,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
1,47,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
2,40,חרגולן זמירי,"CR (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
3,1,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,9,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,11,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,15,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,16,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,17,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,18,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,19,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,20,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,21,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,22,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,23,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,24,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,26,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,28,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,37,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,40,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,43,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,47,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,48,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,49,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,51,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
3,52,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry
4,1,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
