SiteNum,Spname,LocalRisk,statusredBook,TEX,Spnameindex,distribution,local,endemic,red,invader
9,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,1,0,0,0,1,0
14,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,1,0,0,0,1,0
37,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,1,0,0,0,1,0
40,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,1,0,0,0,1,0
47,קנית אירופית,"CR (A1ac,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,1,0,0,0,1,0
40,חרגולן זמירי,"CR (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,2,0,0,0,1,0
1,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
9,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
11,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
15,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
16,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
17,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
18,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
19,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
20,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
21,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
22,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
23,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
24,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
26,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
28,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
37,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
40,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
43,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
47,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
48,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
49,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
51,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
52,נחליאלי צהוב,"CR (A1acd,C1+2a,D)",סכנת הכחדה,poultry,3,0,0,0,1,0
1,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,4,0,0,0,1,0
2,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,4,0,0,0,1,0
6,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,4,0,0,0,1,0
18,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,4,0,0,0,1,0
47,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry,4,0,0,0,1,0
18,שנונית באר-שבע,‎CR (A2ce)‎,סכנת הכחדה,reptiles,5,צפון אפריקה,1,1,1,0
19,שנונית באר-שבע,‎CR (A2ce)‎,סכנת הכחדה,reptiles,5,צפון אפריקה,1,1,1,0
28,שנונית באר-שבע,‎CR (A2ce)‎,סכנת הכחדה,reptiles,5,צפון אפריקה,1,1,1,0
40,זמירון,"CR (B1+2abcde,C2a,D)",סכנת הכחדה,poultry,6,0,0,0,1,0
11,חופמי גדות,"CR (B1+3abcd,C2ab)",סכנת הכחדה,poultry,7,0,0,0,1,0
21,חופמי גדות,"CR (B1+3abcd,C2ab)",סכנת הכחדה,poultry,7,0,0,0,1,0
1,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
2,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
6,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
10,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
11,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
16,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
22,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
27,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
28,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
37,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
40,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
46,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
47,בזבוז אירופי,DD,חסר מידע,poultry,8,0,0,0,0,0
1,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
2,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
6,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
7,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
9,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
10,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
11,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
14,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
15,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
16,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
18,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
19,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
21,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
22,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
23,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
24,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
27,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
28,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
30,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
31,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
32,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
33,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
34,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
35,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
36,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
37,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
38,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
39,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
40,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
41,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
42,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
43,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
47,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
48,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
49,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
54,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
56,זמיר הירדן,DD,חסר מידע,poultry,9,0,0,0,0,0
19,חומט מנומר דרומי,DD,חסר מידע,reptiles,10,"צפון אפריקה , במערב אסיה ובקפריסין ",1,1,1,0
1,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
2,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
6,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
7,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
9,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
10,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
11,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
14,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
16,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
18,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
19,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
21,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
22,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
23,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
24,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
27,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
28,סבכי החורש,DD,חסר מידע,poultry,11,0,0,0,0,0
