SiteNum,SitetName,VegSP,שכיחויות_מלל,אנדמיות_מלל,מוגן,תפוצה פיטוגיאוגרפית (דנין),סטטוס,מספר אדום,אדום,Notes,index
1,גבעות גורל,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
2,יער דודאים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
6,כתף באר שבע,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
9,נחל באר שבע מזרח,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
10,תל באר שבע,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
12,עמק שרה,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
13,עמק שרה דרום,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
14,נחל בקע עליון,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
18,גבעות חבלנים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
22,בתרונות נאות אילן,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
23,מורדות צפוניים נחל באר שבע,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
24,שדות חצרים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
26,רזרבה קרקעית לבתי הקברות,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
27,נחל חצרים עליון,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
31,איצטדיון וסרמיל (גן אלזה),תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
37,נחל עולים תחתון,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
39,נחל סוללים תיכון,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
41,שדות נחל כובשים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
42,מעלה נחל כובשים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
43,מורדות נחלי עשן - כובשים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
45,רמת הבסיס הנטוש,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
48,יער נחל עשן מערב,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
51,שדות אגן פטיש,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
4,נחל כובשים עליון,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
33,גן שני אליהו,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
35,פארק הדסה,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
46,יובלי נחל עשן,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
58,גן וינגייט,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
55,בתי הקברות הישנים,תלתן תריסני,מצוי,,,ים-תיכוני,,,,,495
